zipcode,centile,superzip,rank,city.x,state.x,adultpop,households,college,income,latitude,longitude,city.y,state.y,county
89824,6.59e-05,0,,Halleck,NV,22,9,0,3.267692,41.0589031360896,-115.536475259571,Halleck,NV,Elko
95232,6.59e-05,0,,Glencoe,CA,13,7,0,3.267692,38.350954783847,-120.589053226783,Glencoe,CA,Calaveras
38685,6.59e-05,0,,Waterford,MS,30,9,0,3.267692,34.5491538438282,-89.6001695994031,Waterford,MS,Lafayette
92280,6.59e-05,0,,Vidal,CA,8,11,0,3.267692,34.1996195984571,-115.299950131163,Vidal,CA,San Bernardino
24816,0.0001482,0,,Big Sandy,WV,33,16,0,5.992731,37.3752731834377,-81.6738758556298,Big Sandy,WV,Mcdowell
40334,0.0002854,0,,Hope,KY,45,10,0,8.1725,38.0176056472284,-83.783098461954,Hope,KY,Montgomery
88417,0.0002854,0,,Cuervo,NM,15,9,0,8.1725,34.7818961625818,-104.704068270425,Cuervo,NM,Guadalupe
64147,0.0003376,0,,Kansas City,MO,121,186,0,8.418329,38.8558803502,-94.5736337143652,Kansas City,MO,Jackson
21522,0.000376,0,,Bittinger,MD,18,11,0,9.535019,39.6001905518474,-79.2347329653356,Bittinger,MD,Garrett
41549,0.000409,0,,Myra,KY,19,13,0,10.04106,37.4693794184247,-82.3441409252851,Myra,KY,Pike
71066,0.000494,0,,Powhatan,LA,28,11,0,12.25875,31.8756520975303,-93.188826597682,Powhatan,LA,Natchitoches
32422,0.0005489,0,,Argyle,FL,66,15,0,12.53073,30.7067528021726,-86.0409762257162,Argyle,FL,Walton
25685,0.0006038,0,,Naugatuck,WV,74,36,0,12.57257,37.7443249404327,-82.0960765500276,Naugatuck,WV,Mingo
24962,0.0006587,0,,Pence Springs,WV,49,15,0,12.87201,37.6485923157602,-80.8807355627403,Pence Springs,WV,Summers
26671,0.0007658,0,,Gilboa,WV,82,37,0,14.09724,38.3181592373937,-80.8501164185659,Gilboa,WV,Nicholas
32335,0.0009524,0,,Sumatra,FL,17,5,0,14.7105,30.2886980274779,-84.8512936128414,Sumatra,FL,Liberty
24846,0.0009524,0,,Isaban,WV,18,10,0,14.7105,37.3748529050562,-81.6702490268401,Isaban,WV,Mcdowell
53706,0.0009524,0,,Madison,WI,28,13,0,14.7105,43.0779317342296,-89.4027756644288,Madison,WI,Dane
63433,0.0013751,0,,Ashburn,MO,38,23,0,15.42576,39.5603896488573,-91.2005805497535,Ashburn,MO,Pike
95981,0.0016358,0,,Strawberry Valley,CA,34,20,0,16.64182,39.575776717865,-121.112593903895,Strawberry Valley,CA,Yuba
24845,0.0016605,0,,Ikes Fork,WV,55,27,0,16.89027,37.602545331581,-81.5565891942135,Ikes Fork,WV,Wyoming
39436,0.0018252,0,,Eastabuchie,MS,54,25,0,17.77551,31.4572544704407,-89.3212325588936,Eastabuchie,MS,Jones
26438,0.0019048,0,,Spelter,WV,16,6,0,17.9795,39.3475953303502,-80.3179331178045,Spelter,WV,Harrison
56666,0.0030548,0,,Ponemah,MN,383,212,0,18.68037,47.9740129430033,-94.9966110777514,Ponemah,MN,Beltrami
97817,0.0031619,0,,Bates,OR,13,3,0,18.79675,44.4772874107792,-118.967631738103,Bates,OR,Grant
86547,0.0032717,0,,Round Rock,AZ,385,197,2.07792,15.28323,35.2373116736592,-109.532199181272,Round Rock,AZ,Apache
41426,0.0037053,0,,Falcon,KY,47,28,0,19.25049,37.7859646246108,-83.0098075518702,Falcon,KY,Magoffin
79901,0.0064061,0,23945,El Paso,TX,7925,2877,2.15773,16.07302,31.761697696195,-106.499536057222,El Paso,TX,El Paso
41766,0.0087473,0,,Thousandsticks,KY,137,67,0,19.9409,37.1570403965499,-83.3886459557453,Thousandsticks,KY,Leslie
79785,0.0088077,0,,Toyah,TX,83,23,0,20.02328,31.3839971657067,-103.552365613659,Toyah,TX,Reeves
